epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,10176.5,0.80453,0.37763,0.78696,0.87934,0.6949,0.77405,0.54206,0.79316,0.40772,0.78903,0.000742625,0.000742625,0.000742625
43,10393.6,0.80751,0.37833,0.78237,0.92143,0.74958,0.80498,0.56263,0.77632,0.39729,0.78656,0.00073025,0.00073025,0.00073025
44,10636.8,0.80917,0.38072,0.78433,0.91175,0.75553,0.81967,0.56324,0.78536,0.39007,0.78795,0.000717875,0.000717875,0.000717875
45,10915.4,0.82334,0.39078,0.78363,0.89883,0.75478,0.8024,0.52788,0.80943,0.41984,0.78979,0.0007055,0.0007055,0.0007055
46,11221.4,0.81293,0.38853,0.78462,0.88218,0.73518,0.78147,0.5158,0.83657,0.41835,0.79122,0.000693125,0.000693125,0.000693125
47,11463.2,0.80639,0.38329,0.78462,0.90972,0.72989,0.80765,0.56146,0.76296,0.39724,0.78676,0.00068075,0.00068075,0.00068075
48,11696.6,0.76721,0.36617,0.78315,0.88714,0.74031,0.80305,0.56007,0.78143,0.39348,0.7866,0.000668375,0.000668375,0.000668375
49,11917.8,0.77588,0.36861,0.78318,0.90086,0.7348,0.8051,0.56799,0.76344,0.3898,0.7867,0.000656,0.000656,0.000656
50,12146.2,0.76157,0.36109,0.78157,0.91755,0.73795,0.81784,0.57596,0.75099,0.39192,0.78495,0.000643625,0.000643625,0.000643625
51,12438.7,0.78961,0.36679,0.78354,0.86419,0.72491,0.78946,0.54789,0.76419,0.38728,0.78519,0.00063125,0.00063125,0.00063125
52,12658.9,0.76779,0.36022,0.78301,0.91807,0.75108,0.81453,0.58901,0.76443,0.39345,0.78552,0.000618875,0.000618875,0.000618875
53,12930.7,0.78232,0.37165,0.78254,0.88748,0.75315,0.80112,0.5507,0.78849,0.40488,0.78693,0.0006065,0.0006065,0.0006065
54,13175.5,0.77552,0.36974,0.78227,0.89271,0.70536,0.77946,0.54996,0.75108,0.39448,0.7846,0.000594125,0.000594125,0.000594125
55,13412.9,0.79738,0.37249,0.78285,0.90987,0.71222,0.78223,0.53535,0.77281,0.39735,0.78575,0.00058175,0.00058175,0.00058175
56,13669.7,0.79599,0.37161,0.78503,0.8909,0.75193,0.79633,0.56005,0.74313,0.37922,0.7845,0.000569375,0.000569375,0.000569375
57,13910.9,0.77473,0.35787,0.78086,0.89275,0.75591,0.78401,0.5389,0.7768,0.38776,0.78564,0.000557,0.000557,0.000557
58,14157.4,0.76153,0.36127,0.78107,0.83908,0.71613,0.77088,0.54053,0.78666,0.39235,0.78748,0.000544625,0.000544625,0.000544625
59,14409.2,0.75821,0.36042,0.78125,0.9391,0.69914,0.79271,0.56267,0.7673,0.39366,0.785,0.00053225,0.00053225,0.00053225
60,14664.8,0.74791,0.3496,0.77956,0.89667,0.71861,0.80034,0.57103,0.73479,0.37608,0.78429,0.000519875,0.000519875,0.000519875
